Date,instrument_symbol,Open,High,Low,Close,Adj Close,Volume
10/1/2021,BNDW,79.90000153,79.98999786,79.16999817,79.55999756,78.08056641,1045200
11/1/2021,BNDW,79.37000275,80.33999634,79.16999817,80.01000214,78.60686493,572800
12/1/2021,BNDW,79.86000061,80.30000305,78.31999969,78.45999908,77.17037201,890600
1/1/2022,BNDW,78.26999664,78.26999664,77.02999878,77.08999634,76.90899658,1021100
2/1/2022,BNDW,77.08999634,77.18000031,75.37000275,76.08999634,75.91134644,878100
3/1/2022,BNDW,76.30000305,76.75,73.91000366,73.91000366,73.82841492,1149000
3/22/2022,BNDW,74,74,73.91000366,73.91000366,73.91000366,22672
4/1/2012,VNQ,63.72999954,65.76000214,60.84000015,65.47000122,44.39911652,44864300
5/1/2012,VNQ,65.55000305,66.69000244,60.90999985,62.52000046,42.39853668,47361600
6/1/2012,VNQ,61.59999847,65.47000122,60.13999939,65.43000031,44.37198257,51999500
7/1/2012,VNQ,65.94000244,67.70999908,64.93000031,66.73999786,45.63340378,37159300
8/1/2012,VNQ,67.12000275,67.55000305,65.30000305,66.73000336,45.62656021,39574300
9/1/2012,VNQ,66.73999786,69.19999695,64.58999634,64.97000122,44.42317963,61408400
10/1/2012,VNQ,65.09999847,66.31999969,63.40000153,64.37999725,44.36983871,47588200
11/1/2012,VNQ,64.5,65.56999969,61.65999985,64.20999908,44.25266647,54429400
12/1/2012,VNQ,64.48000336,66.55999756,64.12999725,65.80000305,45.34847641,50012600
1/1/2013,VNQ,66.93000031,69.33000183,66.20999908,68.26000214,47.61610413,51706400
2/1/2013,VNQ,68.62000275,70.06999969,68.02999878,69.08999634,48.19508362,50827200
3/1/2013,VNQ,68.91000366,70.73999786,68.55999756,70.52999878,49.19958115,50762200
4/1/2013,VNQ,70.66000366,75.29000092,70.11000061,75.27999878,52.91835785,53433200
5/1/2013,VNQ,75.38999939,78.86000061,70.75,70.77999878,49.7550621,72839000
6/1/2013,VNQ,70.76000214,71.5,64.27999878,68.72000122,48.30698395,110962000
7/1/2013,VNQ,69.26000214,72.86000061,67.37000275,69.33999634,49.2089653,58248800
8/1/2013,VNQ,69.61000061,69.80999756,63.47000122,64.5,45.77412033,70399600
9/1/2013,VNQ,64.75,70.06999969,63.40000153,66.13999939,46.93799591,73282700
10/1/2013,VNQ,66.15000153,71.12999725,65.40000153,69.12999725,49.50928879,69727000
11/1/2013,VNQ,69.41000366,69.94999695,65.40000153,65.5,46.90956497,52018700
12/1/2013,VNQ,65.43000031,66.51000214,63.95999908,64.55999756,46.23636246,66444700
1/1/2014,VNQ,64.27999878,67.62000275,64.05000305,67.31999969,48.96483994,68138100
2/1/2014,VNQ,67.22000122,70.98999786,65.98999786,70.73000336,51.44507599,82899000
3/1/2014,VNQ,70.29000092,72.01000214,68.79000092,70.62000275,51.36506653,80879900
4/1/2014,VNQ,70.76999664,72.98999786,70.12999725,72.94000244,53.39914703,68785200
5/1/2014,VNQ,73.05999756,75.01999664,72.30999756,74.69000244,54.68033218,59941900
6/1/2014,VNQ,74.91999817,76.76999664,73.65000153,74.83999634,54.79013062,65971500
7/1/2014,VNQ,74.88999939,76.87999725,74.30999756,74.90000153,55.34482574,59277200
8/1/2014,VNQ,74.88999939,77.83999634,74,77.18000031,57.02953339,47424400
9/1/2014,VNQ,77.05000305,78.08000183,71.08999634,71.84999847,53.09112167,75046600
10/1/2014,VNQ,71.59999847,79.05000305,71.31999969,78.98999786,58.90953827,93672300
11/1/2014,VNQ,79.02999878,81.44000244,78.05999756,80.56999969,60.08788681,58834200
12/1/2014,VNQ,80.5,83.08999634,79.16999817,81,60.40858459,92391000
1/1/2015,VNQ,81.69999695,89.26999664,81.33999634,86.55000305,65.42744446,98662800
2/1/2015,VNQ,86.52999878,87.79000092,82.43000031,83.37000275,63.02351761,95072700
3/1/2015,VNQ,83.58000183,87.61000061,80.22000122,84.30999756,63.73410416,99575200
4/1/2015,VNQ,84.37000275,86,78.88999939,79.37999725,60.36593246,81097900
5/1/2015,VNQ,79.47000122,81.56999969,77.72000122,79.13999939,60.18340302,88165300
6/1/2015,VNQ,79.38999939,80.26000214,74.5,74.69000244,56.79933167,101210400
7/1/2015,VNQ,74.37999725,79.62999725,74.36000061,79,60.6844101,83202000
8/1/2015,VNQ,79.26999664,80.83000183,72.25,74.02999878,56.86668015,91513100
9/1/2015,VNQ,73.29000092,77.73999786,71.66999817,75.54000092,58.02659988,87292500
10/1/2015,VNQ,75.66000366,81.76999664,75.04000092,79.88999939,61.98153305,84705000
11/1/2015,VNQ,80.06999969,81.59999847,76.12000275,79.38999939,61.5935936,80265400
12/1/2015,VNQ,79.5,80.91000366,77.06999969,79.73000336,61.85740662,91975000
1/1/2016,VNQ,79.06999969,80.54000092,72.33000183,76.98999786,60.56588364,118618300
2/1/2016,VNQ,76.51999664,77.77999878,70.88999939,76.70999908,60.34561539,88688200
3/1/2016,VNQ,76.77999878,83.91000366,76.63999939,83.80000305,65.92314148,80968400
4/1/2016,VNQ,83.62999725,84.01000214,80.68000031,81.83000183,65.09395599,70280400
5/1/2016,VNQ,81.77999878,86.81999969,80.95999908,83.66999817,66.55762482,78273300
6/1/2016,VNQ,83.37999725,88.66999817,83.29000092,88.66999817,70.53501129,88715800
7/1/2016,VNQ,88.97000122,92.91999817,87.87999725,92.44999695,74.20297241,66045800
8/1/2016,VNQ,92.33000183,92.75,87.58999634,88.97000122,71.40982056,92169700
9/1/2016,VNQ,89.06999969,90.80000305,84.12999725,86.73999786,69.61995697,102158400
10/1/2016,VNQ,86.01000214,86.29000092,80.04000092,81.76000214,66.07648468,98264800
11/1/2016,VNQ,81.40000153,81.73000336,76.98000336,80.38999939,64.96927643,128388400
12/1/2016,VNQ,79.91999817,84.26000214,78.76000214,82.52999878,66.69878387,96180900
1/1/2017,VNQ,82.98000336,84.69999695,81.56999969,82.37000275,67.96690369,94874600
2/1/2017,VNQ,82.27999878,86.16000366,81.31999969,85.26000214,70.35154724,70198700
3/1/2017,VNQ,85,85.48999786,79.98000336,82.58999634,68.14842224,113420100
4/1/2017,VNQ,82.36000061,85.72000122,82.31999969,82.79000092,68.81270599,81135700
5/1/2017,VNQ,83.15000153,83.65000153,80.69999695,82.19000244,68.31402588,98725200
6/1/2017,VNQ,81.95999908,85.38999939,81.76000214,83.23000336,69.17842865,93467200
7/1/2017,VNQ,83.55999756,84.73000336,80.58000183,84.26000214,70.70349121,63756900
8/1/2017,VNQ,84.51999664,85,81.73000336,84.04000092,70.51889801,55338900
9/1/2017,VNQ,84.05999756,85.80000305,82.06999969,83.08999634,69.72172546,70001300
10/1/2017,VNQ,83.22000122,85,81.33999634,82.19999695,69.68396759,71910400
11/1/2017,VNQ,82.33999634,85.48000336,82.15000153,84.38999939,71.5404892,73385100
12/1/2017,VNQ,84.48999786,86.13999939,81.18000031,82.98000336,70.34521484,91535200
1/1/2018,VNQ,83.04000092,83.16999817,77.91999817,79.44999695,68.39616394,113314100
2/1/2018,VNQ,79.08999634,79.73999786,72.05000305,73.34999847,63.14485931,168821800
3/1/2018,VNQ,73.19000244,76.66000366,72.62000275,75.47000122,64.96990967,141198400
4/1/2018,VNQ,75.33999634,76.70999908,73.55000305,76.08999634,66.14060211,112218300
5/1/2018,VNQ,76.08000183,79.40000153,75.5,78.88999939,68.57447815,93478400
6/1/2018,VNQ,78.58999634,81.80000305,78.43000031,81.44999695,70.79975128,115031400
7/1/2018,VNQ,81.51999664,83.16000366,79.98999786,81.94000244,71.88597107,107574400
8/1/2018,VNQ,81.34999847,84.55000305,81.12999725,84.05000305,73.73707581,90618000
9/1/2018,VNQ,83.86000061,84.06999969,79.18000031,80.68000031,70.78057861,94412300
10/1/2018,VNQ,80.59999847,80.81999969,75.37999725,78.31999969,69.67300415,168456100
11/1/2018,VNQ,78.37999725,82.05000305,77.15000153,81.98000336,72.92893982,114197000
12/1/2018,VNQ,82.48000336,83.30999756,71.08000183,74.56999969,66.33703613,213633400
1/1/2019,VNQ,73.55999756,83.47000122,72.52999878,83.41000366,75.08768463,151841800
2/1/2019,VNQ,83.48999786,85.44999695,81.72000122,83.98999786,75.6098175,142887900
3/1/2019,VNQ,83.94000244,87.41999817,82.81999969,86.91000366,78.23847198,147869500
4/1/2019,VNQ,87,88.13999939,83.77999878,86.76999664,78.6709137,105284800
5/1/2019,VNQ,86.76999664,88.58999634,84.95999908,86.88999939,78.77973175,105994700
6/1/2019,VNQ,87.19999695,91.84999847,85.94999695,87.40000153,79.24212646,106185400
7/1/2019,VNQ,87.98000336,91,86.33000183,88.88999939,81.36812592,110612600
8/1/2019,VNQ,89.01000214,92.55000305,86.44999695,92.22000122,84.41633606,100972200
9/1/2019,VNQ,92.19999695,94.06999969,91.23999786,93.25,85.35916901,90812700
10/1/2019,VNQ,93.19999695,95.48999786,91.38999939,94.30000305,87.01196289,84281600
11/1/2019,VNQ,94.41000366,94.79000092,90.51999664,93.06999969,85.87701416,98605700
12/1/2019,VNQ,92.69999695,93.37000275,89.22000122,92.79000092,85.6186676,115389300
1/1/2020,VNQ,93.19000244,96.15000153,90.84999847,93.93000031,87.6006012,98448400
2/1/2020,VNQ,93.87999725,99.72000122,84.66000366,87.33000183,81.44533539,119825600
3/1/2020,VNQ,87.65000153,94.40000153,55.58000183,69.84999847,65.14321899,298513300
4/1/2020,VNQ,66.51000214,79.98999786,63.27000046,76.11000061,71.53533936,182121800
5/1/2020,VNQ,74.08000183,78.81999969,66.26999664,77.43000031,72.77597809,144158700
6/1/2020,VNQ,77.36000061,86.80000305,75.66000366,78.52999878,73.80987549,146935800
7/1/2020,VNQ,78.80000305,82.06999969,76.65000153,81.38999939,77.25546265,100164500
8/1/2020,VNQ,81.41999817,83.47000122,79.37999725,81.75,77.59718323,78309800
